track_name,artists,album_name,track_genre,valence,energy,emotion_id
I Heard The Bells On Christmas Day,The Civil Wars,Alternative Christmas 2022,acoustic,0.218,0.145,4
Fairytale Of New York,KT Tunstall,Alternative Christmas 2022,acoustic,0.33,0.555,0
I Heard The Bells On Christmas Day,The Civil Wars,Acoustic Christmas Campfire,acoustic,0.218,0.145,4
I Heard The Bells On Christmas Day,The Civil Wars,Lonely Christmas 2022,acoustic,0.218,0.145,4
I Heard The Bells On Christmas Day,The Civil Wars,Chill Christmas Dinner,acoustic,0.218,0.145,4
I Heard The Bells On Christmas Day,The Civil Wars,sadsadchristmas,acoustic,0.218,0.145,4
I Heard The Bells On Christmas Day,The Civil Wars,Christmas Country Songs 2022,acoustic,0.218,0.145,4
Hold On,KT Tunstall,Del gusto de mamá,acoustic,0.805,0.937,3
Suddenly I See,KT Tunstall,OO's Music Grandi Successi,acoustic,0.693,0.78,3
Rain,Motohiro Hata,言ノ葉,acoustic,0.542,0.655,3
Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),acoustic,0.617,0.38,6
Pieces (Hushed),Andrew Belle,Black Bear (Hushed),acoustic,0.0951,0.279,4
Mirrors,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",acoustic,0.683,0.658,3
Stand by Me,Boyce Avenue,Stand by Me,acoustic,0.307,0.266,4
Losing Me,Gabrielle Aplin;JP Cooper,Dear Happy,acoustic,0.257,0.407,4
なんでもないや - movie ver.,Mone Kamishiraishi,chouchou,acoustic,0.325,0.161,4
You’re Beautiful - Acoustic,John Adams,You’re Beautiful (Acoustic),acoustic,0.36,0.154,4
Hikare Inochi,Kitri,Hikare Inochi,acoustic,0.385,0.769,0
How To Lose a Girl,Tyler Ward,Songs From Nashville,acoustic,0.34,0.454,4
Can’t Help Falling in Love,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic,0.148,0.197,4
Dive Deep (Hushed),Andrew Belle,Dive Deep (Hushed),acoustic,0.085,0.378,4
When the Party's over (Acoustic Piano),Ben Woodward,When the Party's over (Acoustic Piano),acoustic,0.188,0.226,4
Boston,Augustana,All The Stars and Boulevards,acoustic,0.29,0.571,0
Living in the Shadows,Matthew Perryman Jones,Living in the Shadows,acoustic,0.197,0.79,0
In Case You Didn’t Know,Boyce Avenue,"Cover Sessions, Vol. 4",acoustic,0.341,0.299,4
death bed (coffee for your head),Andrew Foy;Renee Foy,death bed (coffee for your head),acoustic,0.601,0.0392,6
You Are My Sunshine,Kina Grannis,You Are My Sunshine,acoustic,0.575,0.0755,6
I Won't Give Up,Jason Mraz,I Won't Give Up,acoustic,0.142,0.303,4
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,acoustic,0.21,0.271,4
Only Love Can Hurt Like This,Meg Birch,Life Sucks Playlist,acoustic,0.0998,0.213,4
Mr Blue,Catherine Feeny,Hurricane Glass,acoustic,0.612,0.386,6
Do Not Let Me Go,Joshua Hyslop,Where The Mountain Meets The Valley,acoustic,0.145,0.234,4
Holding On And Letting Go,Ross Copperman,Holding On And Letting Go - Single,acoustic,0.102,0.53,0
You Already Know,JJ Heller,You Already Know,acoustic,0.318,0.117,4
Believer (Remix),Ben Woodward,Believer (Remix),acoustic,0.333,0.724,0
Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),acoustic,0.294,0.253,4
Love Like This,Ben Rector,Magic,acoustic,0.392,0.14,4
Come On Get Higher,Matt Nathanson,Some Mad Hope,acoustic,0.617,0.623,3
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),acoustic,0.113,0.272,4
Kiss Me Slowly,Parachute,The Way It Was,acoustic,0.431,0.801,0
Without You,Parachute,Wide Awake,acoustic,0.534,0.864,3
Absolutely Zero,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.116,0.495,4
Sleep All Day,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.79,0.81,3
You and I Both,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.74,0.812,3
Long Nights,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.0974,0.305,4
Please Don't Say You Love Me,Gabrielle Aplin,English Rain,acoustic,0.321,0.541,0
Suddenly I See,KT Tunstall,Eye To The Telescope,acoustic,0.664,0.767,3
Who Needs Shelter,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.264,0.569,0
No Stopping Us,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.727,0.836,3
I'll Do Anything,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.648,0.711,3
Make You Feel My Love,JJ Heller,I Dream of You: CALM,acoustic,0.262,0.199,4
The Remedy (I Won't Worry),Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.795,0.867,3
Too Much Food,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.548,0.926,3
The Boy's Gone,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.36,0.556,0
"On Love, in Sadness",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.802,0.832,3
Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.892,0.793,3
"Tonight, Not Again - Live",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.594,0.278,6
"Tonight, Not Again",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic,0.359,0.805,0
Hard Sun,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.645,0.827,3
Here with Me,Susie Suh;Robot Koch,Here with Me,acoustic,0.106,0.375,4
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",acoustic,0.14,0.295,4
Collide,Howie Day,Stop All The World Now,acoustic,0.342,0.625,0
get better,Eden Elf;Ren Avel,get better,acoustic,0.4,0.201,4
Sympathy,Kitri,Hikare Inochi,acoustic,0.59,0.423,6
Let It Go,Boyce Avenue;Rachel Grae,Let It Go,acoustic,0.444,0.349,4
What You Need,Chord Overstreet,What You Need,acoustic,0.192,0.264,4
100 Years,Five For Fighting,The Battle for Everything,acoustic,0.275,0.569,0
You're the Sea,Andrew Belle,Nightshade,acoustic,0.529,0.624,3
No Direction,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",acoustic,0.613,0.821,3
Belong,Cary Brothers,Under Control,acoustic,0.217,0.399,4
As It Was,The Mayries,As It Was,acoustic,0.323,0.21,4
I'm Yours,Jason Mraz,I'm Yours,acoustic,0.731,0.43,6
Chi Mai,Joseph Sullinger,Chi Mai,acoustic,0.557,0.287,6
Say Something,A Great Big World;Christina Aguilera,Say Something,acoustic,0.0915,0.146,4
Had It All,Parachute,Parachute,acoustic,0.249,0.54,0
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,Take Me Back,acoustic,0.563,0.646,3
Whole Again - Acoustic Version,Tobey Rosen,Whole Again (Acoustic Version),acoustic,0.235,0.145,4
Overpass Graffiti,The Mayries,Overpass Graffiti,acoustic,0.279,0.126,4
Love Song,Sara Bareilles,Little Voice,acoustic,0.573,0.786,3
Let Her Go,Andrew Foy;Renee Foy,Let Her Go,acoustic,0.376,0.291,4
Brighter Than Sunshine,Aqualung,Still Life,acoustic,0.398,0.489,4
Love Story,Tyler Ward;Karis;Ray Lorraine,Love Story,acoustic,0.338,0.12,4
Mujer con Abanico,Agustín Amigó;Nylonwings,Mujer con Abanico,acoustic,0.471,0.135,4
In the Shadows,Amy Stroup,In the Shadows,acoustic,0.0568,0.469,4
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,acoustic,0.217,0.198,4
The Story,Brandi Carlile,The Story,acoustic,0.177,0.5,0
Better,JJ Heller,Better,acoustic,0.233,0.187,4
Iris,Kina Grannis,Iris,acoustic,0.179,0.13,4
Rockabye - Acoustic Version,The Mayries,#Acoustic,acoustic,0.355,0.291,4
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,acoustic,0.446,0.522,0
Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 4",acoustic,0.705,0.506,3
Let's See What The Night Can Do,Jason Mraz,Know.,acoustic,0.288,0.423,4
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),acoustic,0.164,0.2,4
Forever And Always,Parachute,The Way It Was,acoustic,0.435,0.716,0
Fine On The Outside,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,acoustic,0.196,0.185,4
Tortured Soul,Chord Overstreet,Tree House Tapes,acoustic,0.144,0.499,4
I Believe in You,JJ Heller,I Believe in You,acoustic,0.267,0.359,4
At Home,Jon Bryant,Cult Classic,acoustic,0.357,0.52,0
"Portland, Maine",Donovan Woods,"Hard Settle, Ain't Troubled",acoustic,0.156,0.349,4
Holding On and Letting Go,Ross Copperman,Holding On and Letting Go LP,acoustic,0.0992,0.555,0
The Flood,Joshua Hyslop,In Deepest Blue (Bonus Track Version),acoustic,0.262,0.446,4
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),acoustic,0.276,0.407,4
Out of My League,Stephen Speaks,No More Doubt,acoustic,0.4,0.315,4
Say Something,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,acoustic,0.142,0.158,4
Rise,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.526,0.58,3
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,Say I Am You,acoustic,0.4,0.311,4
Stumble,Freddie King,Thanksgiving Party,acoustic,0.857,0.612,3
Paradise,Taj Mahal,Supa Chill,acoustic,0.862,0.406,6
"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,Un tecito y a mimir,acoustic,0.342,0.399,4
ひまわりの約束,Motohiro Hata,青の光景,acoustic,0.336,0.445,4
Since U Been Gone - Acoustic Version,Thomas Daniel,Since U Been Gone,acoustic,0.366,0.162,4
"One more time,One more chance",Masayoshi Yamazaki,"One more time,One more chance",acoustic,0.396,0.429,4
Creep,Kina Grannis,Creep,acoustic,0.179,0.103,4
Higher Love,Todd Carey;Ariza;Chuck Leavell,Higher Love,acoustic,0.394,0.763,0
Hyouriittai,YUZU,Shinsekai,acoustic,0.333,0.891,0
How Long Will I Love You,Canyon City,How Long Will I Love You,acoustic,0.224,0.157,4
Binibini,Zack Tabudlo,Binibini,acoustic,0.0979,0.374,4
You Were Supposed to Be Different,Aron Wright,You Were Supposed to Be Different,acoustic,0.137,0.239,4
Thinking out Loud,Boyce Avenue,"Cover Sessions, Vol. 3",acoustic,0.628,0.326,6
Perfect / Style,Jonah Baker,Covers,acoustic,0.375,0.292,4
Poison & Wine,The Civil Wars,Barton Hollow,acoustic,0.203,0.186,4
Collide,Howie Day,Stop All The World Now,acoustic,0.342,0.625,0
You And I,Ingrid Michaelson,Be OK,acoustic,0.53,0.285,6
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,Give Me Your Forever,acoustic,0.275,0.439,4
Falling in Love at a Coffee Shop,Landon Pigg,Coffee Shop,acoustic,0.243,0.298,4
Breathe (2 AM),Anna Nalick,Wreck of the Day,acoustic,0.287,0.452,4
Habang Buhay,Zack Tabudlo,Episode,acoustic,0.183,0.668,0
Beautiful Soul,Jonah Baker,Beautiful Soul,acoustic,0.485,0.281,4
Bulletproof,Ben Woodward,Bulletproof,acoustic,0.635,0.552,3
Spectrum,Andrew Belle,Nightshade,acoustic,0.212,0.717,0
Girls Like You - Acoustic Version,Jonah Baker,Girls Like You (Acoustic Version),acoustic,0.3,0.138,4
Nangangamba,Zack Tabudlo,Nangangamba,acoustic,0.208,0.547,0
Better Together,Us The Duo,Better Together,acoustic,0.553,0.311,6
Heartbreak Anniversary,Andrew Foy;Renee Foy,Heartbreak Anniversary,acoustic,0.339,0.122,4
One More Time Around,Tyler Ward;Karis;Ray Lorraine,One More Time Around,acoustic,0.187,0.358,4
Say Something,A Great Big World,流星花園音樂專輯,acoustic,0.155,0.101,4
Heart Can’t Lose,Zack Tabudlo,Episode,acoustic,0.374,0.567,0
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,The Other Way,acoustic,0.16,0.213,4
Empty,Ray LaMontagne,Till The Sun Turns Black,acoustic,0.42,0.381,4
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)",acoustic,0.262,0.207,4
The Reason,Tim Halperin,Covers,acoustic,0.209,0.207,4
Fix You,Canyon City,Refuge,acoustic,0.133,0.152,4
Hand to Hold,JJ Heller,Hand to Hold,acoustic,0.261,0.313,4
Hold You in My Arms,Ray LaMontagne,Trouble,acoustic,0.577,0.321,6
One Last Dance,Us The Duo,Public Record,acoustic,0.171,0.161,4
Heaven,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",acoustic,0.292,0.28,4
The Spark - Bonus Track,Joshua Hyslop,In Deepest Blue (Bonus Track Version),acoustic,0.229,0.429,4
American Beauty,Drew Holcomb & The Neighbors,Medicine,acoustic,0.178,0.169,4
Such A Simple Thing,Ray LaMontagne,Part Of The Light,acoustic,0.13,0.256,4
Colors,Amos Lee,Amos Lee,acoustic,0.29,0.168,4
Someone You Loved,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic,0.371,0.364,4
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,Know.,acoustic,0.527,0.528,3
Flurry Rush,Days N Daze,Show Me the Blueprints.,acoustic,0.92,0.674,3
I Choose You,Sara Bareilles,The Blessed Unrest,acoustic,0.947,0.572,3
I Do Adore,Mindy Gledhill,Anchor,acoustic,0.8,0.334,6
I'll Be Home For Christmas,Dave Barnes,Christmas Faves 2022,acoustic,0.24,0.307,4
Fuck You,Get Dead,Tall Cans & Loose Ends,acoustic,0.936,0.917,3
Christmas Comes But Once A Year,Albert King,pov: you have a holly jolly christmas,acoustic,0.621,0.494,6
Christmas Comes But Once A Year,Albert King,pov: you rock around the christmas tree,acoustic,0.621,0.494,6
If I Ain't Got You - Acoustic,John Adams,If I Ain't Got You (Acoustic),acoustic,0.361,0.15,4
Believe - Acoustic,John Adams,Believe (Acoustic),acoustic,0.182,0.241,4
Iris - Acoustic,Adam Christopher,Iris (Acoustic),acoustic,0.363,0.249,4
Rain - Long Ver.,Motohiro Hata,言ノ葉,acoustic,0.351,0.604,0
C'est si bon,Aoi Teshima,Cheek to Cheek~I Love Cinemas~,acoustic,0.479,0.203,4
Baby (Acoustic Version),Jonah Baker,Baby (Acoustic Version),acoustic,0.328,0.147,4
Reason,YUZU,Land,acoustic,0.468,0.819,0
I Like Me Better,Boyce Avenue;Emma Heesters,I Like Me Better,acoustic,0.315,0.263,4
Asan Ka Na Ba,Zack Tabudlo,Asan Ka Na Ba,acoustic,0.493,0.768,0
A Thousand Years,Boyce Avenue,"Cover Sessions, Vol. 3",acoustic,0.228,0.221,4
drivers license,Thomas Daniel,drivers license,acoustic,0.373,0.217,4
Love Someone,Jason Mraz,YES!,acoustic,0.0797,0.347,4
The Winner Takes It All - Acoustic,Jae Hall,The Winner Takes It All (Acoustic),acoustic,0.149,0.127,4
Only Time,Aaron Espe,Only Time,acoustic,0.361,0.261,4
Almost Lover,A Fine Frenzy,One Cell In The Sea,acoustic,0.167,0.24,4
Dance Monkey,Roses & Frey,Dance Monkey,acoustic,0.317,0.192,4
Ocean,Parachute,Parachute,acoustic,0.352,0.711,0
Dream a Little Dream of Me,Kina Grannis,Dream a Little Dream of Me,acoustic,0.458,0.185,4
Back For Good,The Mayries,Back For Good,acoustic,0.352,0.175,4
OK,Canyon City,OK,acoustic,0.486,0.183,4
Just The Two Of Us,Andrew Foy;Renee Foy,Just The Two Of Us,acoustic,0.597,0.083,6
Hey There Delilah,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic,0.258,0.319,4
Arcade,Andrew Foy;Renee Foy,Arcade,acoustic,0.35,0.266,4
Yellow,Kina Grannis,Yellow,acoustic,0.266,0.132,4
Wake Me Up,Roses & Frey,Wake Me Up,acoustic,0.35,0.214,4
Walking Blind,Aidan Hawken,Walking Blind (feat. Carina Round),acoustic,0.134,0.183,4
Headphones,Jon Bryant,Headphones,acoustic,0.396,0.455,4
Teenage Dream,The Rescues,Teenage Dream,acoustic,0.411,0.408,4
The Worth Of The Wait,Ivan & Alyosha,The Worth Of The Wait,acoustic,0.344,0.618,0
Can't Help Falling In Love - Piano Version,Kina Grannis,Can't Help Falling In Love (Piano Version),acoustic,0.147,0.0937,4
Never Come Back Again,Austin Plaine,Austin Plaine,acoustic,0.172,0.695,0
Love You To Death,Chord Overstreet,Love You To Death,acoustic,0.0987,0.344,4
Someone You Loved - Acoustic,Plamina,Someone You Loved (Acoustic),acoustic,0.31,0.298,4
What a Wonderful World,Kina Grannis;Imaginary Future,What a Wonderful World,acoustic,0.155,0.0399,4
You Broke Me First,Andrew Foy;Renee Foy,You Broke Me First,acoustic,0.14,0.0423,4
Long Way Down,Joshua Hyslop,Echos,acoustic,0.186,0.231,4
She Is Love,Parachute,Losing Sleep,acoustic,0.305,0.174,4
Marigold,Phillip LaRue,The Meaning,acoustic,0.541,0.406,6
12:51,krissy & ericka,Twelve: Fifty One (International Version),acoustic,0.438,0.357,4
サンサーラ,Takehara Pistol,リョウメンシダ/サンサーラ,acoustic,0.219,0.183,4
Sons and Daughters,Allman Brown;Liz Lawrence,1000 Years,acoustic,0.202,0.461,4
Brand New,Ben Rector,Brand New,acoustic,0.422,0.934,0
Gotta Have You,The Weepies;Deb Talan;Steve Tannen,Say I Am You,acoustic,0.543,0.363,6
"30,000 Feet",Ben Rector,Brand New,acoustic,0.321,0.452,4
A Thousand Years,Eddy Tyler,Guitar Instrumental Covers,acoustic,0.16,0.396,4
Jolene,Ray LaMontagne,Trouble,acoustic,0.288,0.142,4
No Ceiling,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.75,0.652,3
Front Porch,Joy Williams,Front Porch,acoustic,0.2,0.224,4
Goodbye Lulu,Days N Daze,Rogue Taxidermy,acoustic,0.967,0.839,3
Three More Days,Ray LaMontagne,Cruising,acoustic,0.903,0.68,3
Isn't She Lovely - Acoustic,Callum J Wright,Isn't She Lovely (Acoustic),acoustic,0.424,0.306,4
We Could Still Be Happy,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 4",acoustic,0.177,0.317,4
Fix You - Acoustic,John Adams,Fix You (Acoustic),acoustic,0.304,0.152,4
I'm Yours - Acoustic,Lusaint,I'm Yours (Acoustic),acoustic,0.391,0.267,4
Closer,Boyce Avenue;Sarah Hyland,"Cover Sessions, Vol. 4",acoustic,0.466,0.471,4
A Sky Full of Stars,Mother's Daughter;Beck Pete,A Sky Full of Stars,acoustic,0.152,0.11,4
I Don't Believe in Satan,Aron Wright,I Don't Believe in Satan,acoustic,0.354,0.41,4
Pills,The Perishers,Let There Be Morning (Bonus Track Version),acoustic,0.293,0.288,4
Shallow - Acoustic,Tyler Ward;Madysyn,he said. she said.,acoustic,0.234,0.282,4
Watermelon Sugar - Acoustic,Jonah Baker,Watermelon Sugar (Acoustic),acoustic,0.461,0.121,4
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,Say You Won't Let Go (Acoustic),acoustic,0.348,0.197,4
Hikare Inochi,Kitri,Hikare Inochi,acoustic,0.385,0.769,0
