name,artist,tags,genre,valence,energy,danceability,acousticness,tempo,spotify_preview_url,spotify_id,tags_list,mood_tags,mood_text
Under the Bridge,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk",Pop,0.513,0.49,0.554,0.0168,84.275,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=774b29d4f13844c495f206cafdad9c86,06zh28PcYIFvNOAz5Wq2Xb,"['rock', 'alternative', 'alternative_rock', '90s', 'funk']",[],
Seven Nation Army,The White Stripes,"rock, alternative, indie, alternative_rock, indie_rock",,0.305,0.465,0.759,0.00662,124.049,https://p.scdn.co/mp3-preview/0cf1b44cf203258ea446560c62e891b887262024?cid=774b29d4f13844c495f206cafdad9c86,025zyxycElQVXwZSzrvJQr,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']",[],
Feel Good Inc.,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",RnB,0.832,0.72,0.809,0.0337,138.556,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=774b29d4f13844c495f206cafdad9c86,09xrHi86kLkEIzDLZiHNnv,"['rock', 'electronic', 'alternative', 'indie', 'pop', 'alternative_rock', 'dance', 'british', 'hip_hop', 'trip_hop']",['dance'],dance
Chop Suey!,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,0.322,0.925,0.42,0.000363,127.422,https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=774b29d4f13844c495f206cafdad9c86,0EIIqshB4doby2sMQpeqGN,"['rock', 'alternative', 'metal', 'alternative_rock', 'hard_rock', 'nu_metal']",[],
Fix You,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow",,0.129,0.416,0.213,0.164,138.478,https://p.scdn.co/mp3-preview/b1640815319b2df5ddfac27a28f016319a281468?cid=774b29d4f13844c495f206cafdad9c86,0Kk4dfh9Kq7Okg4T58IBVR,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'love', 'beautiful', 'britpop', 'mellow']","['love', 'beautiful', 'mellow']",love beautiful mellow
Lithium,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",,0.485,0.656,0.678,0.00174,123.207,https://p.scdn.co/mp3-preview/e346fce09e0dc8858d279bb42d5bf41bd9e603bb?cid=774b29d4f13844c495f206cafdad9c86,07hCnHx9DhqZg5eN6RvCbd,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']",[],
Song 2,Blur,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,0.779,0.723,0.676,0.00227,129.7,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=774b29d4f13844c495f206cafdad9c86,0g0VHJLFYFN3yHZImyQhPA,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']",[],
In the End,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",,0.37,0.853,0.542,0.0103,105.256,https://p.scdn.co/mp3-preview/6ce8bcf317e8c562f348ea22c846846b5b70e8d9?cid=774b29d4f13844c495f206cafdad9c86,138JuTi1U3WIROalXod9FB,"['rock', 'alternative', 'metal', 'alternative_rock', 'nu_metal']",[],
Chasing Cars,Snow Patrol,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow",,0.125,0.568,0.558,0.211,104.0,https://p.scdn.co/mp3-preview/f6718903c52c507068a15158552eab1f4d8da28f?cid=774b29d4f13844c495f206cafdad9c86,01Jvw9zNg5LM2RF8WNfnLy,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock', 'british', 'love', 'beautiful', 'britpop', 'mellow']","['love', 'beautiful', 'mellow']",love beautiful mellow
Otherside,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk",,0.513,0.795,0.459,0.00316,123.23,https://p.scdn.co/mp3-preview/fe298962db3331e8523c714490c678be5313809a?cid=774b29d4f13844c495f206cafdad9c86,0lfH1VLbnBywPOmIMit60M,"['rock', 'alternative', 'alternative_rock', '90s', 'funk']",[],
When You Were Young,The Killers,"rock, alternative, indie, alternative_rock, indie_rock",,0.313,0.981,0.466,0.000124,130.403,https://p.scdn.co/mp3-preview/8c8377ba2344ad94b74122033b070adcd361bdb2?cid=774b29d4f13844c495f206cafdad9c86,028sncWcELBmNBE6RYSRxh,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']",[],
Supermassive Black Hole,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,0.837,0.891,0.667,0.0397,120.01,https://p.scdn.co/mp3-preview/7ab3e38ce1671da3a185d8685981983a6f39b7bd?cid=774b29d4f13844c495f206cafdad9c86,0v6Mi3f552jMW6dhYoKAbC,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british']",[],
Bohemian Rhapsody,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s",,0.228,0.405,0.405,0.133,141.173,https://p.scdn.co/mp3-preview/d1ff0ba5c5538ca2c50b808aab2278253c98b038?cid=774b29d4f13844c495f206cafdad9c86,0LiLzOhHCyGnCX1znFrtul,"['rock', 'classic_rock', 'hard_rock', '80s', 'british', '70s']",[],
Use Somebody,Kings of Leon,"rock, alternative, indie, alternative_rock, indie_rock",Electronic,0.194,0.755,0.276,0.00583,137.149,https://p.scdn.co/mp3-preview/c1f5819057f7528777163bf7d75bf8609553c5be?cid=774b29d4f13844c495f206cafdad9c86,03BednbxXIA23kUtR5HMQ9,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']",[],
Starlight,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop",,0.266,0.88,0.555,0.000212,121.57,https://p.scdn.co/mp3-preview/f7a1b8a270f310e43ced2720c9af5f29f6476b79?cid=774b29d4f13844c495f206cafdad9c86,0hlK03xCSPtLSFJdlZM2kZ,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british', 'beautiful', 'britpop']",['beautiful'],beautiful
Paranoid Android,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,0.299,0.8,0.232,0.0523,81.849,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,0bomiLGPTUNyk3mV19pbwN,"['rock', 'electronic', 'alternative', 'indie', 'alternative_rock', 'experimental', 'indie_rock', 'progressive_rock', 'british', '90s', 'britpop']",[],
Everlong,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,0.36,0.867,0.415,5.69e-05,157.902,https://p.scdn.co/mp3-preview/26f7feca8e14f27659465e336117c03fb8ee29d4?cid=774b29d4f13844c495f206cafdad9c86,07q6QTQXyPRCf7GbLakRPr,"['rock', 'alternative', 'alternative_rock', 'hard_rock', '90s', 'grunge']",[],
No Surprises,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",,0.118,0.393,0.255,0.0577,76.426,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=774b29d4f13844c495f206cafdad9c86,0ijMYjXk5iRZp2VsiC8MC8,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'beautiful', 'britpop', 'mellow']","['beautiful', 'mellow']",beautiful mellow
Iris,Goo Goo Dolls,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful",,0.497,0.715,0.315,0.00125,155.925,https://p.scdn.co/mp3-preview/0e87ade9fa869e31b3c32115c2c10ee8fa522c81?cid=774b29d4f13844c495f206cafdad9c86,0Ik6qKLeS741z2Xl2oy0YS,"['rock', 'alternative', 'pop', 'alternative_rock', 'soundtrack', '90s', 'love', 'beautiful']","['love', 'beautiful']",love beautiful
Numb,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",,0.243,0.863,0.496,0.0046,110.018,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=774b29d4f13844c495f206cafdad9c86,0kO3njY9N1Rxgv27Ha1lLh,"['rock', 'alternative', 'metal', 'alternative_rock', 'nu_metal']",[],
Zombie,The Cranberries,"rock, alternative, female_vocalists, alternative_rock, 90s",,0.265,0.664,0.311,0.0202,166.821,https://p.scdn.co/mp3-preview/9a8fd2539aea02586dabd6cea3ab9059b532459b?cid=774b29d4f13844c495f206cafdad9c86,01vQXuDFQPIizZb7XE3BqN,"['rock', 'alternative', 'female_vocalists', 'alternative_rock', '90s']",[],
Dani California,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",,0.73,0.913,0.556,0.0193,96.184,https://p.scdn.co/mp3-preview/87d4f1047475a73d44731914bca0b883cc1d5876?cid=774b29d4f13844c495f206cafdad9c86,0BWx4WKgUXKHj8npThsbcH,"['rock', 'alternative', 'alternative_rock', 'funk']",[],
Stairway to Heaven,Led Zeppelin,"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,0.212,0.361,0.354,0.625,80.36,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,03hLW9osM6UuNqlpwL8XPo,"['rock', 'classic_rock', 'hard_rock', 'progressive_rock', '70s']",[],
Welcome to the Jungle,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,0.154,0.91,0.272,0.106,130.139,https://p.scdn.co/mp3-preview/80a4f151e65749cb4170609c0a5ee505f7c1601a?cid=774b29d4f13844c495f206cafdad9c86,0Aau2Ju1RoLAhL90zRcDx4,"['rock', 'metal', 'classic_rock', 'hard_rock', '80s', 'heavy_metal']",[],
Clint Eastwood,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, british, rap, hip_hop, trip_hop, 00s",,0.556,0.712,0.659,0.0249,167.948,https://p.scdn.co/mp3-preview/20e27bbc6c7dd769fc5245d2ef6da78e2ad99549?cid=774b29d4f13844c495f206cafdad9c86,04ucB3K9gVnynVBkDMdd0T,"['rock', 'electronic', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'rap', 'hip_hop', 'trip_hop', '00s']",[],
Paint It Black,The Rolling Stones,"rock, classic_rock, british, 60s",,0.615,0.793,0.456,0.0486,158.787,https://p.scdn.co/mp3-preview/b3ee20e3dbbee530ec004f84031da026beebb300?cid=774b29d4f13844c495f206cafdad9c86,0hBZCHzVNvboVLWS7aNKRO,"['rock', 'classic_rock', 'british', '60s']",[],
Reptilia,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, post_punk, 00s",,0.77,0.65,0.488,0.000597,158.011,https://p.scdn.co/mp3-preview/8894d33d94ef1135ce87e0ac8058a6425e91e4c9?cid=774b29d4f13844c495f206cafdad9c86,2hmibAtdObO8F4tnhLENuQ,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'post_punk', '00s']",[],
The Pretender,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, grunge",,0.359,0.958,0.433,0.000895,172.969,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=774b29d4f13844c495f206cafdad9c86,0FTZhIxKaX6HqJA0MvGR16,"['rock', 'alternative', 'alternative_rock', 'hard_rock', 'grunge']",[],
All These Things That I've Done,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,0.219,0.751,0.548,0.00219,118.267,https://p.scdn.co/mp3-preview/3678a4052d850a79de958169e147183492b5c479?cid=774b29d4f13844c495f206cafdad9c86,07ygRsnqBqNFfdpmH3BeOV,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', '00s']",[],
Losing My Religion,R.E.M.,"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s",Pop,0.629,0.736,0.668,0.0115,126.978,https://p.scdn.co/mp3-preview/7e795b53f58d926a094c2f009f1d0db584dc8a3d?cid=774b29d4f13844c495f206cafdad9c86,04pRvt8HcPmmP6EeZoYMxa,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'classic_rock', '90s']",[],
Paranoid,Black Sabbath,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s",,0.492,0.772,0.413,0.0017,163.073,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=774b29d4f13844c495f206cafdad9c86,01dw6mDc9xJMoEPasHaV7Y,"['rock', 'metal', 'classic_rock', 'hard_rock', 'heavy_metal', '70s']",[],
Time Is Running Out,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,0.443,0.854,0.575,0.00246,118.225,https://p.scdn.co/mp3-preview/b326e03624cb098d8387e17aa46669edac0d025a?cid=774b29d4f13844c495f206cafdad9c86,0bAng0CKxaDaXiLDNca9cc,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british']",[],
I Kissed a Girl,Katy Perry,"rock, pop, female_vocalists, dance, pop_rock",,0.696,0.76,0.699,0.00223,129.996,https://p.scdn.co/mp3-preview/29414f20ba1659e9f54612e358d881861aa90c2d?cid=774b29d4f13844c495f206cafdad9c86,005lwxGU1tms6HGELIcUv9,"['rock', 'pop', 'female_vocalists', 'dance', 'pop_rock']",['dance'],dance
Where Is My Mind?,Pixies,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack",Rock,0.212,0.435,0.514,0.0078,82.104,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,0DJU6KGwdkxEPCy3BZ3UZY,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', '80s', 'soundtrack']",[],
Bitter Sweet Symphony,The Verve,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop",,0.514,0.907,0.383,0.0313,171.052,https://p.scdn.co/mp3-preview/3debe861147de110f5e72e6badd5aaa63247f2d4?cid=774b29d4f13844c495f206cafdad9c86,0jLnevC3Vn34qVWrAa4X6x,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock', 'british', 'chillout', 'soundtrack', '90s', 'beautiful', 'britpop']","['chillout', 'beautiful']",chillout beautiful
Toxicity,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,0.48,0.873,0.413,0.000264,116.68,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=774b29d4f13844c495f206cafdad9c86,0snQkGI5qnAmohLE7jTsTn,"['rock', 'alternative', 'metal', 'alternative_rock', 'hard_rock', 'nu_metal']",[],
Basket Case,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,0.781,0.943,0.442,0.00293,85.064,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=774b29d4f13844c495f206cafdad9c86,2WtF8X3W7iHPF2KaJGUCuO,"['rock', 'alternative', 'alternative_rock', 'punk', 'punk_rock', '90s']",[],
Heart-Shaped Box,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,0.459,0.842,0.609,0.0044,115.158,https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=774b29d4f13844c495f206cafdad9c86,0FMu3Z1yvTJKLWgxG6ZLS5,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']",[],
By the Way,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",,0.198,0.97,0.451,0.0264,122.444,https://p.scdn.co/mp3-preview/1b6ca5843bd21973cbb2c2410616dd10564e91da?cid=774b29d4f13844c495f206cafdad9c86,1f2V8U1BiWaC9aJWmpOARe,"['rock', 'alternative', 'alternative_rock', 'funk']",[],
I Will Follow You Into The Dark,Death Cab for Cutie,"rock, alternative, indie, indie_rock, acoustic, emo, love, beautiful, mellow",,0.489,0.206,0.517,0.924,80.401,https://p.scdn.co/mp3-preview/3ec4d60fbf25011995a35e3b516f5b5ceaae1906?cid=774b29d4f13844c495f206cafdad9c86,05LxlxqXeHh8Chl0ro8KHQ,"['rock', 'alternative', 'indie', 'indie_rock', 'acoustic', 'emo', 'love', 'beautiful', 'mellow']","['acoustic', 'love', 'beautiful', 'mellow']",acoustic love beautiful mellow
Smile Like You Mean It,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock",Rock,0.379,0.981,0.369,0.000391,125.002,https://p.scdn.co/mp3-preview/41f03ab99969aaf0bd8dc43a16aa3c9aec6ccc3c?cid=774b29d4f13844c495f206cafdad9c86,03xdrZszrWGIMqyxByAiH5,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock']",[],
Hysteria,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,0.441,0.914,0.411,0.000462,93.123,https://p.scdn.co/mp3-preview/ff29ded2c1aa87ed04cb15ea9b1819dc4db95ad7?cid=774b29d4f13844c495f206cafdad9c86,01gGZKbc2EXSZCrk3g9nHJ,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british']",[],
In Bloom,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Punk,0.595,0.744,0.433,9.84e-06,157.18,https://p.scdn.co/mp3-preview/125a819ae02f496c47ed8a9d956f9f6b1aad9349?cid=774b29d4f13844c495f206cafdad9c86,2qdRHMosT8YO3zfEJQXHsW,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']",[],
Love Will Tear Us Apart,Joy Division,"rock, alternative, indie, 80s, british, new_wave, post_punk, love",,0.602,0.87,0.393,0.00517,157.075,https://p.scdn.co/mp3-preview/97260c7421b96a48e0712bd0f1f79e4c49e33acc?cid=774b29d4f13844c495f206cafdad9c86,01Y6Ruj8IP2zvXfXjvlcTs,"['rock', 'alternative', 'indie', '80s', 'british', 'new_wave', 'post_punk', 'love']",['love'],love
Don't Stop Believin',Journey,"rock, classic_rock, 80s",,0.476,0.779,0.492,0.263,119.242,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=774b29d4f13844c495f206cafdad9c86,0A9NRug5YgRpwKBbcaovYH,"['rock', 'classic_rock', '80s']",[],
Someday,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,0.678,0.52,0.538,0.00425,106.031,https://p.scdn.co/mp3-preview/83703b4cc3b487fa0773635bb98def1b7fc89cb0?cid=774b29d4f13844c495f206cafdad9c86,13hsNLxj4Q6E8b5Yg1IquK,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', '00s']",[],
Don't Panic,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, beautiful, britpop, mellow, chill",,0.427,0.6,0.62,0.0345,118.016,https://p.scdn.co/mp3-preview/18d587e6cdcd4e7f652604097d13c69d9acd2e46?cid=774b29d4f13844c495f206cafdad9c86,0MbCcvzLYu3xq6OgEkSbhC,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock', 'british', 'chillout', 'soundtrack', 'beautiful', 'britpop', 'mellow', 'chill']","['chillout', 'beautiful', 'mellow', 'chill']",chillout beautiful mellow chill
Boulevard of Broken Dreams,Green Day,"rock, alternative, alternative_rock, punk, punk_rock",,0.506,0.679,0.49,0.00394,167.046,https://p.scdn.co/mp3-preview/439804a8cc76ae7d380ae25d86ad9a4b314eae98?cid=774b29d4f13844c495f206cafdad9c86,1hwJKpe0BPUsq6UUrwBWTw,"['rock', 'alternative', 'alternative_rock', 'punk', 'punk_rock']",[],
Back in Black,AC/DC,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,0.763,0.7,0.31,0.011,188.386,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=774b29d4f13844c495f206cafdad9c86,08mG3Y1vljYA6bvDt4Wqkj,"['rock', 'metal', 'classic_rock', 'hard_rock', '80s', 'heavy_metal']",[],
Float On,Modest Mouse,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s",Rock,0.559,0.893,0.646,0.0151,100.951,https://p.scdn.co/mp3-preview/0d741d740ea0e449057d326439a47e974447e86d?cid=774b29d4f13844c495f206cafdad9c86,1Urf1M52P3R6NYdAOJizoW,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'indie_pop', '00s']",[],
Bring Me to Life,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic",,0.296,0.93,0.332,0.0107,190.074,https://p.scdn.co/mp3-preview/fbc615fe752212b7fd65fd82e7fa1eb8519b7e09?cid=774b29d4f13844c495f206cafdad9c86,00zmBA9YVd5z3ptHFIMGlL,"['rock', 'alternative', 'female_vocalists', 'metal', 'alternative_rock', 'gothic_metal', 'gothic']",[],
Can't Stop,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",Electronic,0.875,0.938,0.618,0.0179,91.455,https://p.scdn.co/mp3-preview/076f7d75404dfd18964d60da63d1855b192f3e62?cid=774b29d4f13844c495f206cafdad9c86,3ZOEytgrvLwQaqXreDs2Jx,"['rock', 'alternative', 'alternative_rock', 'funk']",[],
She Will Be Loved,Maroon 5,"rock, alternative, pop, alternative_rock, love, pop_rock",,0.52,0.704,0.697,0.0659,102.024,https://p.scdn.co/mp3-preview/c8e6c9aaf0895fd390e85761f307e63f531fdd7e?cid=774b29d4f13844c495f206cafdad9c86,03YDy08NY89fQZzhobPz0x,"['rock', 'alternative', 'pop', 'alternative_rock', 'love', 'pop_rock']",['love'],love
Nothing Else Matters,Metallica,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,0.158,0.362,0.553,0.0458,142.352,https://p.scdn.co/mp3-preview/d6e626f0c7bdf60ce42fff46bc4550596a5fb487?cid=774b29d4f13844c495f206cafdad9c86,0nLiqZ6A27jJri2VCalIUs,"['rock', 'metal', 'hard_rock', 'heavy_metal', 'thrash_metal', '90s']",[],
Paradise City,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,0.471,0.977,0.267,0.00384,99.766,https://p.scdn.co/mp3-preview/7e77dcdb69fc57950e0776d78397863bb91cfffd?cid=774b29d4f13844c495f206cafdad9c86,0LobJmDKU8e8oOJVwIOl55,"['rock', 'metal', 'classic_rock', 'hard_rock', '80s', 'heavy_metal']",[],
Naïve,The Kooks,"rock, alternative, indie, indie_rock, british, britpop",Rock,0.716,0.791,0.559,0.0668,103.38,https://p.scdn.co/mp3-preview/798e1e21d3f6f76430feb5291e6bb608c9484fe9?cid=774b29d4f13844c495f206cafdad9c86,0itk18Y362KvHpXVwcF6yG,"['rock', 'alternative', 'indie', 'indie_rock', 'british', 'britpop']",[],
Trouble,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, piano, beautiful, britpop, mellow",Rock,0.184,0.511,0.558,0.176,139.858,https://p.scdn.co/mp3-preview/d304ea35aada75a163b7cf6eeb4fddb6090b76de?cid=774b29d4f13844c495f206cafdad9c86,09LoXTH3aa72YWMMYkPtKT,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock', 'british', 'chillout', 'piano', 'beautiful', 'britpop', 'mellow']","['chillout', 'beautiful', 'mellow']",chillout beautiful mellow
